Story,Hex,Count_2007,AvgGross_2007,AvgBudget_2007,Return_2007,Count_2008,AvgGross_2008,AvgBudget_2008,Return_2008,Count_2009,AvgGross_2009,AvgBudget_2009,Return_2009,Count_2010,AvgGross_2010,AvgBudget_2010,Return_2010,Count_2011,AvgGross_2011,AvgBudget_2011,Return_2011
Love,#DC267F,11,119.52,36.18,230.34%,19,171.29,53.24,221.75%,12,163.10,31.08,424.72%,17,96.62,47.00,105.57%,11,115.60,28.11,311.24%
Quest,#CB71D7,11,275.62,75.14,266.83%,13,99.44,53.63,85.41%,14,192.35,68.71,179.93%,7,348.51,105.29,231.01%,13,272.44,81.62,233.82%
Rivalry,#12A3B4,2,107.75,65.50,64.50%,6,43.72,35.02,24.85%,4,71.45,38.75,84.37%,15,168.88,76.07,122.02%,10,286.12,64.55,343.26%
Monster Force,#00AA5E,10,173.38,68.50,153.10%,7,77.94,20.83,274.21%,12,123.05,50.38,144.22%,14,141.31,35.63,296.62%,19,130.96,51.18,155.86%
Comedy,#3C6DF0,8,146.84,58.88,149.41%,15,56.37,39.07,44.30%,27,106.83,39.33,171.59%,19,96.38,38.63,149.49%,14,138.34,45.85,201.73%
Pursuit,#648FFF,12,122.21,49.92,144.83%,5,251.54,82.40,205.27%,7,112.65,50.63,122.51%,7,178.00,91.57,94.38%,1,45.43,20.00,127.15%
Discover,#73A22C,5,127.34,49.40,157.77%,9,119.80,40.83,193.39%,5,22.16,35.40,-37.40%,5,44.93,22.20,102.40%,11,48.54,27.27,77.99%
Rescue,#FF509E,5,401.12,151.20,165.29%,10,146.24,62.70,133.24%,3,66.10,50.00,32.20%,5,255.81,74.90,241.54%,2,33.96,97.50,-65.17%
Fish Out of Water,#00B6CB,0,0.00,0.00,0.00%,8,149.62,78.81,89.85%,0,0.00,0.00,0.00%,1,291.41,170.00,71.42%,5,323.62,109.60,195.28%
Revenge,#81B532,2,231.92,67.50,243.58%,4,414.07,120.00,245.06%,8,267.21,93.81,184.83%,6,80.33,51.00,57.50%,6,184.50,59.67,209.22%
Escape,#F87EAC,2,87.49,10.00,774.86%,7,69.71,33.14,110.34%,8,172.56,48.44,256.26%,3,67.21,13.33,404.05%,4,167.27,47.25,254.00%
Journey and Return,#34BC6E,3,172.77,105.83,63.25%,6,132.39,49.33,168.35%,4,250.78,108.75,130.60%,7,447.57,107.57,316.06%,2,98.86,142.50,-30.63%
Underdog,#89A2F6,1,202.55,75.00,170.06%,4,255.50,58.78,334.71%,4,175.05,68.13,156.95%,6,186.94,56.00,233.81%,4,107.60,50.75,112.02%
The Riddle,#71CDDD,3,190.68,56.67,236.49%,7,58.57,31.43,86.36%,4,257.25,87.50,194.00%,5,82.91,37.60,120.51%,5,111.08,42.40,161.98%
Maturation,#57D785,5,189.01,32.70,478.01%,4,46.45,24.63,88.64%,8,72.12,19.69,266.31%,4,216.35,25.50,748.43%,4,108.19,32.50,232.89%
Transformation,#95D13C,5,210.91,60.00,251.52%,7,88.45,29.86,196.23%,4,112.30,72.75,54.36%,4,123.44,43.25,185.41%,6,26.93,24.75,8.79%
Sacrifice,#D68ADF,3,193.56,45.33,326.97%,7,110.23,48.14,128.96%,2,116.65,84.00,38.87%,1,40.26,16.00,151.63%,4,46.01,24.68,86.47%
Temptation,#E4ADEA,1,48.12,20.00,140.61%,5,81.69,62.10,31.54%,2,21.17,22.50,-5.91%,2,21.36,13.50,58.22%,3,78.01,23.73,228.68%
Metamorphosis,#F7AAC3,1,890.87,258.00,245.30%,2,422.20,161.75,161.02%,3,1054.98,124.00,750.79%,0,0.00,0.00,0.00%,4,171.98,102.25,68.20%
Tragedy,#B0BEF3,0,0.00,0.00,0.00%,3,40.46,25.83,56.61%,3,128.27,48.00,167.23%,1,9.45,15.00,-37.00%,1,14.19,30.00,-52.70%
Rags to Riches,#B4E876,0,0.00,0.00,0.00%,1,8.88,12.00,-26.00%,1,295.10,29.00,917.59%,3,92.07,40.00,130.17%,0,0.00,0.00,0.00%
Wretched Excess,#A0E3F0,1,76.18,25.00,204.73%,0,0.00,0.00,0.00%,0,0.00,0.00,0.00%,2,167.23,14.00,"1,094.46%",3,65.76,23.00,185.92%